state,wilderness_acres 
Alabama,42218
Alaska,57757130
Arizona,4512066
Arkansas,153342
California,15348149
Colorado,3734992
Connecticut,0
Delaware,0
District of Columbia,0
Florida,1421395
Georgia,488679
Hawaii,147819
Idaho,4795700
Illinois,32172
Indiana,12472
Iowa,0
Kansas,0
Kentucky,17187
Louisiana,17047
Maine,18628
Maryland,0
Massachusetts,3244
Michigan,291308
Minnesota,820621
Mississippi,10656
Missouri,71914
Montana,3501359
Nebraska,12437
Nevada,3448359
New Hampshire,138407
New Jersey,10341
New Mexico,1972507
New York,1380
North Carolina,111504
North Dakota,39652
Ohio,77
Oklahoma,24040
Oregon,2507014
Pennsylvania,9005
Puerto Rico,10244
Rhode Island,0
South Carolina,67237
South Dakota,77678
Tennessee,86099
Texas,85167
Utah,1819062
Vermont,100874
Virginia,217157
Washington,4484466
West Virginia,118811
Wisconsin,79967
Wyoming,3067728
