Date,High_Temp,Low_Temp,Avg_Temp,Precipitation
2020-08-01,82,70,76,0.33
2020-08-02,86,66,76,0
2020-08-03,89,67,78,0
2020-08-04,84,70,77,0
2020-08-05,87,67,77,0
2020-08-06,89,68,78.5,0
2020-08-07,90,68,79,0
2020-08-08,94,67,80.5,0
2020-08-09,95,71,83,0.04
2020-08-10,97,74,85.5,0
2020-08-11,92,72,82,0
2020-08-12,90,75,82.5,0.09
2020-08-13,94,72,83,0.51
2020-08-14,88,74,81,0.03
2020-08-15,90,72,81,0
2020-08-16,91,70,80.5,T
2020-08-17,91,66,78.5,0
2020-08-18,91,68,79.5,0
2020-08-19,85,68,76.5,0
2020-08-20,89,68,78.5,0
2020-08-21,79,68,73.5,1.54
2020-08-22,85,69,77,0.25
2020-08-23,88,67,77.5,0.03
2020-08-24,92,69,80.5,0.41
2020-08-25,93,73,83,0
2020-08-26,89,73,81,0
2020-08-27,90,73,81.5,0.65
2020-08-28,84,73,78.5,0.71
2020-08-29,92,74,83,0.01
2020-08-30,88,73,80.5,0.86
2020-08-31,86,72,79,0.41
